categoryA,categoryB,rightAttribute,leftAttribute,orStimulus,instructions,trial_type,stimulusImage,stimulusText,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,participant,gender,age,frameRate,expName,date,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,0,0,0,9,0,18,0,i,1,0.151698112488,e,1,0.151185035706,4,,,60.1055568532,IAT,2016_May_05_1418,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,0,0,0,9,1,19,0,i,1,0.18479013443,e,1,0.184661149979,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,0,0,0,1,i,1,0.184922933578,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,0,1,1,1,i,1,0.13450217247,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,1,0,2,0,e,1,0.0844020843506,i,1,0.0841679573059,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,1,1,3,0,e,1,0.0675039291382,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,2,0,4,1,i,1,0.0676579475403,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,2,1,5,1,i,1,0.0682969093323,e,1,0.0679578781128,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,3,0,6,1,i,1,0.0676071643829,e,1,0.0497298240662,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,3,1,7,0,e,1,0.0172529220581,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,4,0,8,1,i,1,0.0666959285736,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,4,1,9,1,i,1,0.0673849582672,e,1,0.0505449771881,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,5,0,10,0,e,1,0.0500271320343,i,1,0.0342040061951,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,5,1,11,0,e,1,0.035952091217,i,1,0.0177478790283,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,6,0,12,0,e,1,0.369235992432,i,1,0.0165250301361,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,6,1,13,0,e,1,0.117728948593,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,7,0,14,1,i,1,0.0837950706482,e,1,0.0673980712891,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,7,1,15,0,e,1,0.0670161247253,i,1,0.067281961441,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,8,0,16,0,e,1,0.067743062973,i,1,0.0672528743744,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,8,1,17,1,i,1,0.0516550540924,e,1,0.0514841079712,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,1,1,1,9,0,18,1,i,1,0.0675799846649,e,1,0.0503380298615,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,1,1,1,9,1,19,0,e,1,0.0507979393005,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,2,2,2,0,0,0,2,i,1,0.269299983978,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,2,2,2,0,1,1,0,e,1,0.084361076355,i,1,0.0669658184052,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,2,2,2,0,2,2,0,e,1,0.0349140167236,i,1,0.0346999168396,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,2,2,2,0,3,3,1,i,1,0.369212150574,e,1,0.0165610313416,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",4,img_trial_type_4,text_trial_type_4,0,2,2,2,1,0,4,3,e,1,0.167909860611,i,1,0.150057077408,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,2,2,2,1,1,5,0,e,1,0.200426101685,i,1,0.183708906174,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,2,2,2,1,2,6,2,i,1,0.11866402626,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",4,img_trial_type_4,text_trial_type_4,0,2,2,2,1,3,7,3,e,1,0.168818950653,i,1,0.151116847992,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",1,img_trial_type_1,text_trial_type_1,0,2,2,2,2,0,8,0,e,1,0.134563207626,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,2,2,2,2,1,9,1,i,1,0.134541034698,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,2,2,2,2,2,10,1,i,1,0.0842950344086,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,2,2,2,2,3,11,2,i,1,0.0845031738281,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",2,img_trial_type_2,text_trial_type_2,0,2,2,2,3,0,12,1,i,1,0.10081911087,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",3,img_trial_type_3,text_trial_type_3,0,2,2,2,3,1,13,2,i,1,0.100584983826,None,0,,4,,,60.1055568532,IAT,2016_May_05_1418,
Insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",4,img_trial_type_4,text_trial_type_4,0,2,2,2,3,2,14,3,e,1,0.184349775314,i,1,0.133996009827,4,,,60.1055568532,IAT,2016_May_05_1418,
