categoryA,categoryB,rightAttribute,leftAttribute,orStimulus,instructions,stimulusText,stimulusImage,trialtype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,participant,gender,age,frameRate,expName,date,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Awful,blank.png,4,0,0,0,0,1,0,10,5,e,1,0.0513098239899,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Despise,blank.png,4,0,0,0,0,1,1,11,6,e,1,0.101948976517,i,1,0.0847589969635,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disgust,blank.png,4,0,0,0,0,1,2,12,8,e,1,0.0683879852295,i,1,0.0681049823761,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Likeable,blank.png,3,0,0,0,0,1,3,13,3,i,1,0.118498802185,e,1,0.118323087692,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Attractive,blank.png,3,0,0,0,0,1,4,14,0,i,1,0.0849030017853,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Enjoy,blank.png,3,0,0,0,0,1,5,15,1,i,1,0.117528915405,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Dirty,blank.png,4,0,0,0,0,1,6,16,7,e,1,0.250885009766,i,1,0.134583950043,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Favorable,blank.png,3,0,0,0,0,1,7,17,2,i,1,0.0340647697449,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Lovely,blank.png,3,0,0,0,0,1,8,18,4,i,1,0.167835950851,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
 , ,Positive,Negative, ,"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Nasty,blank.png,4,0,0,0,0,1,9,19,9,e,1,0.284288167953,i,1,0.166923999786,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect4.jpg,2,0,1,1,1,0,0,0,8,e,1,0.333848953247,i,1,0.234410047531,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect1.jpg,2,0,1,1,1,0,1,1,5,e,1,0.218163967133,i,1,0.13395190239,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower5.jpg,1,0,1,1,1,0,2,2,4,i,1,0.050323009491,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower2.jpg,1,0,1,1,1,0,3,3,1,i,1,0.184692144394,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower4.jpg,1,0,1,1,1,0,4,4,3,i,1,0.185291051865,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect3.jpg,2,0,1,1,1,0,5,5,7,e,1,0.269405126572,i,1,0.184632062912,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect5.jpg,2,0,1,1,1,0,6,6,9,e,1,0.183356046677,i,1,0.0994381904602,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower3.jpg,1,0,1,1,1,0,7,7,2,i,1,0.0676240921021,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower1.jpg,1,0,1,1,1,0,8,8,0,i,1,0.151651859283,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect2.jpg,2,0,1,1,1,0,9,9,6,e,1,0.268512010574,i,1,0.166616916656,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect3.jpg,2,0,1,1,1,1,0,10,7,e,1,0.132709980011,i,1,0.0173561573029,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower5.jpg,1,0,1,1,1,1,1,11,4,i,1,0.050920009613,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect2.jpg,2,0,1,1,1,1,2,12,6,e,1,0.251590967178,i,1,0.168631076813,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect4.jpg,2,0,1,1,1,1,3,13,8,e,1,0.169049024582,i,1,0.0680010318756,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower3.jpg,1,0,1,1,1,1,4,14,2,i,1,0.068158864975,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower2.jpg,1,0,1,1,1,1,5,15,1,i,1,0.184272050858,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect5.jpg,2,0,1,1,1,1,6,16,9,e,1,0.266658067703,i,1,0.167249917984,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,insect1.jpg,2,0,1,1,1,1,7,17,5,e,1,0.168241977692,i,1,0.0496761798859,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower1.jpg,1,0,1,1,1,1,8,18,0,i,1,0.0681481361389,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers, , , ,"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", ,flower4.jpg,1,0,1,1,1,1,9,19,3,i,1,0.151275873184,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Favorable,blank.png,3,0,2,2,2,0,0,0,12,i,1,0.217394113541,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Disgust,blank.png,4,0,2,2,2,0,1,1,18,e,1,0.250611066818,i,1,0.184321165085,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Likeable,blank.png,3,0,2,2,2,0,2,2,13,i,1,0.116846084595,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,insect1.jpg,2,0,2,2,2,0,3,3,5,e,1,0.250422000885,i,1,0.167799949646,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Awful,blank.png,4,0,2,2,2,0,4,4,15,e,1,0.184254169464,i,1,0.118214845657,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Lovely,blank.png,3,0,2,2,2,0,5,5,14,i,1,0.0844421386719,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,insect2.jpg,2,0,2,2,2,0,6,6,6,e,1,0.250943183899,i,1,0.167159080505,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,insect4.jpg,2,0,2,2,2,0,7,7,8,e,1,0.216035842896,i,1,0.100219011307,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,flower4.jpg,1,0,2,2,2,0,8,8,3,i,1,0.051365852356,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Attractive,blank.png,3,0,2,2,2,0,9,9,10,i,1,0.184871912003,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,insect3.jpg,2,0,2,2,2,0,10,10,7,e,1,0.317488193512,i,1,0.25030708313,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,flower1.jpg,1,0,2,2,2,0,11,11,0,i,1,0.117026090622,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,flower5.jpg,1,0,2,2,2,0,12,12,4,i,1,0.151388883591,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,flower3.jpg,1,0,2,2,2,0,13,13,2,i,1,0.167516946793,None,0,,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.",Despise,blank.png,4,0,2,2,2,0,14,14,16,e,1,0.249714136124,i,1,0.13320183754,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
insects,Flowers,Positive,Negative,or,"See above, the four categories you saw separately now appear together. Remember, each item belongs to only one group.

The green and white labels and items may help to identify the appropriate category. Use the E and I keys to categorize items into four groups left and right, and correct errors by hitting the other key.

Press E or I to continue.", ,insect5.jpg,2,0,2,2,2,0,15,15,9,e,1,0.183720111847,i,1,0.0668458938599,1,m,28,60.4222044871,IAT,2016_Apr_24_1721,
